Item name,Supplier,Supplier code,Item size,Item Unit of Measure,€ Price per unit (excluding VAT),Tax rate
Butter Salted 20X454G,Vegetable Nation,BUS02B,454,g,74.00,0.0%
Butter Unsalted 20X454G,Vegetable Nation,BUU01B,454,g,98.70,0.0%
Butterfly Pea Flower,Three Spoons,,100,g,13.90,
Buttermilk Cuinneog (1Ltr),Vegetable Nation,45038,1000,ml,1.50,0%
Butternut Squash Each,Brokes Food,14948,1,ea,6.40,0.0%
Cabbage Cavolo Nero,Brokes Food,976311,1,ea,1.50,
Cabbage Red Each,Vegetable Nation,CAR03E,1,ea,2.85,0.0%
Cabbage Savoy Box 6S,Brokes Food,210010,6,ea,10.95,0.0%
Cabbage Sweet Heart Each,Vegetable Nation,CSH01E,1,ea,1.15,0.0%
Cabbage White Each,Brokes Food,210087,1,ea,1.99,0.0%
Cabbage York 10,Vegetable Nation,CAY01B,10,ea,11.00,0.0%
Cabbage York Each,Brokes Food,210024,1,ea,16.80,0.0%
Campari 70Cl 25%,Vagawond,3057,700,ml,252.10,23.0%
Capers Mini Non-Pareilles (850G),Vegetable Nation,25020,850,g,7.75,
Capt Morgan Spiced Gold 1 Ltr 35%,Vagawond,879,1000,ml,284.45,23.0%
Carlsberg Keg 50Ltr,Vagawond,1704,50000,ml,180.38,23.0%
Carrot Baby Prepack,Vegetable Nation,CAB04,200,g,23.50,
Carrot Medium New Season 10Kg,Vegetable Nation,CMS02B,10000,g,9.00,0.0%
Carrots Baby Box,Brokes Food,97086,200,g,18.95,
Carrots Baby Rainbow,Brokes Food,97251,200,g,14.99,
Carrots Medium Bag,Brokes Food,207107,10000,g,11.95,0.0%
Carrots Medium Bag 10Kg,Brokes Food,CARL,10000,g,11.95,0%
Cashew Nuts 1 Kg,Brokes Food,744014,1000,g,12.55,
Cauliflower Box 8S,Brokes Food,230060,8,ea,18.95,0.0%
Caviar - Oscietra Royal (10G),Vegetable Nation,19315,10,g,14.95,0%
"Cb Alunga Q Ferment. Milk Couv. Choc. 41%, 5Kg",Fine Foods,040.015.015,5000,g,111.60,0%
Celeriac 10 Kg,Brokes Food,97088i,10000,g,1.95,
Celeriac Bulb Each,Brokes Food,220057,1,ea,1.65,0.0%
Celeriac Each,Vegetable Nation,CEL01E,1,ea,1.20,0.0%
Celery Bunch Each,Brokes Food,220035,1,ea,0.95,0.0%
Celery Each .,Vegetable Nation,CEL03E,1,ea,1.00,0.0%
Chambord Black Raspberry 500Ml 17%,Vagawond,1230,500,ml,266.57,23.0%
Chambord Raspberry Liqeuer 700Ml,Catering Providers,2268803,700,ml,27.50,23.0%
Chan Chan - Black Garlic Irish Fermented (65G)(X1),Vegetable Nation,21160,65,g,3.65,0%
Charles Hours Uroulat Jurancon,Le Caveau,LCSW09,750,ml,119.06,23%
"Château De Beauregard Fleurie Poncie 2022, 75Cl",Vagawond,109159,750,ml,19.42,23.0%
"Château De Beauregard Fleurie Poncie 2023, 75Cl",Vagawond,109935,750,ml,19.42,23.0%
Château Fuissé Pouilly-Fuissé Tête De Cuvée,O'Briens Wines,07WFRA096,2,ea,32.00,23%
Chauteau Briand - Kg,Meat Supply,,1000,g,23.00,0.0%
Cheese Cheddar White Gr 1 X 2Kg,Brokes Food,774010,2000,g,12.45,
Cheese Feta 2Kg,Brokes Food,774067,2000,g,27.99,0.0%
Cheese Gran Parmesan Wedge 1X1Kg,Brokes Food,774001,1000,g,15.70,
Cheese Mascarpone 1Kg,Vegetable Nation,CHM04E,1000,g,10.00,0.0%
Cheese Parmesan Grano Padano Grated 1Kg,Brokes Food,DACHGPG,1000,g,10.44,0.0%
Cheese: Ballylisk Triple Rose Brie (230G),Vegetable Nation,40542,230,g,7.95,0%
Cheese: Boyne Valley Bán (2Kg) (Cto) Kilo,Vegetable Nation,42012,2000,g,26.95,0%
Cheese: Boyne Valley Blue (2.5Kg)(Cto)Kilo,Vegetable Nation,42011,2500,g,28.90,0%
Cheese: Brie Brick St Kevin Wicklow (1Kg) Kilo,Vegetable Nation,40246,1000,g,14.95,0%
Cheese: Cashel Blue (1.6Kg) Kilo,Vegetable Nation,42105,1600,g,15.80,0%
Cheese: Cheddar Coolattin Mature 14.5Kg (Cto) Kilo,Vegetable Nation,42252,14500,g,24.80,0%
Cheese: Cheddar Hegartys (2.4Kg) (Cto) Kilo,Vegetable Nation,42162,2400,g,15.95,0%
Cheese: Comte A.O.C 6 Months (Cto) Kilo,Vegetable Nation,40507,1000,g,26.90,0%
Cheese: Durrus Large (1.3Kg) (Cto) Kilo,Vegetable Nation,42135,1300,g,16.85,0%
Cheese: Goat Log Ardsallagh (1Kg) Kilo,Vegetable Nation,43001,1000,g,16.50,0%
Cheese: Goat Log St.Tola (1Kg),Vegetable Nation,43000,1000,g,31.60,0%
Cheese: Mossfield Gouda (5Kg) (Cto) Kilo,Vegetable Nation,42015,5000,g,28.90,0%
Cheese: Mozzarella Burrata Bianca (125G X 20),Vegetable Nation,40344,125,g,48.00,0%
Cheese: Pecorino Fiore Sardo D.O.P (Cto) Kilo,Vegetable Nation,40558,1000,g,28.35,0%
Cheese: Toonsbridge Scamorza Smoked (1Kg) Kilo,Vegetable Nation,40254,1000,g,21.80,
Cheese:Velvetcloud Labnehsoft Cheese(1Kg),Vegetable Nation,42165,1000,g,26.65,
Chervil Bag,Vegetable Nation,CHE01E,50,g,1.12,0.0%
Chestnut Cooked 400G,Vegetable Nation,CHC05E,400,g,6.95,0.0%
Chia Seeds (1Kg),Vegetable Nation,26128,1000,g,11.95,0%
Chick Peas Tinned 3 X 4Kg,Brokes Food,767103,4000,g,12.95,
Chicken Breasts (170G-190G X25) (5Kg),Vegetable Nation,11088,5000,g,39.30,0%
Chicken Skins Iqf (1Kg) Kilo,Vegetable Nation,12013,1000,g,2.45,
Chicory Red Each,Vegetable Nation,CHR03E,1,ea,0.95,0.0%
Chilli Thailand Red Bird Eye 1Kg Loose,Brokes Food,97005,1000,g,15.93,
Chives 1Kg,Vegetable Nation,CHI03B,1000,g,14.00,0.0%
Chives Bag,Vegetable Nation,CHI02E,50,g,1.45,0.0%
"Chocolate - Cacao Barry Zephyr White 34%, 5Kg",Fine Foods,040.020.000,5000,g,100.25,0%
"Chocolate - Cb Excellence Couverture 55%, 5Kg",Fine Foods,040.010.020,5000,g,88.65,0%
Chocolate Buttons Luker® 40%Milk Noche (2.5Kg),Vegetable Nation,55040,2500,g,29.80,0%
Chocolate Buttons Luker® White Nevado (2.5Kg),Vegetable Nation,56614,2500,g,56.80,0%
Chocolate Drops White (2.5Kg) Callebaut,Vegetable Nation,90046,2500,g,56.95,0%
Chocolate Drops White 1Kg,Brokes Food,709046,1000,g,16.75,0.0%
Cinnamon Sticks (250G),Vegetable Nation,,250,g,9.80,
Cinzia Bergaglio Gavi Di Tassarolo,Le Caveau,LCIT39U,750,ml,75.90,23%
Clever Plucker 30L Keg,Farringtons Brewery,,30000,ml,105.00,23.0%
Cling Film 1 X 450M X 300M,Brokes Food,742002,1,ea,6.39,23.0%
Cling Film 30Cm X 300M,Vegetable Nation,CLF01E,1,ea,8.00,0.0%
Clingfilm 18' (300Mtr),Vegetable Nation,61031,1,ea,9.95,23%
Club Orange 200Ml Nrb X 24,Catering Providers,2005758,24,ea,12.95,23.0%
Coca Cola Nrb Split 200Ml X 24,Catering Providers,2010040,24,ea,15.95,23.0%
Coca Cola Zero Nrb 200Ml X 24,Catering Providers,2014163,24,ea,13.95,23.0%
Cocoa Butter Luker® (1Kg),Vegetable Nation,56813,1000,g,28.75,0%
Cod Fillets,Fish Galore,DCODF,1000,g,19.00,0.0%
Coke 200Ml Irish Nr,Vagawond,1235,200,ml,16.41,23.0%
Coke Zero 200Ml Irish Nr,Vagawond,61015,1,ea,15.33,23.0%
Copper Presentation Saucepan 10Oz X 6,Catering Providers,5660329,6,ea,208.42,23.0%
Coravin A65 Capsule 3 Pack,O'Briens Wines,15A002,2,ea,21.91,23%
Cordial- Elderflower (500Ml X 6),Vegetable Nation,,500,ml,26.90,
Coriander Bag,Vegetable Nation,COR01E,50,g,1.12,0.0%
Coriander Cress 30G Punnet,Brokes Food,185163,30,g,2.85,0.0%
Cornflour (3Kg),Vegetable Nation,33155,3000,g,8.90,0%
Cornflour 25Kg,Brokes Food,726119,25000,g,55.20,
Corona Long Neck 330Ml X 24,Catering Providers,2303926,24,ea,29.95,23.0%
Crab Meat 500G,Fish Galore,DCRM,500,g,36.00,0.0%
Crackers- Peters Yard Crispbread Sml (90G X 8),Vegetable Nation,41024,90,g,29.90,23%
Cranberry Juice 1Ltr X 12,Catering Providers,1460898,1000,ml,15.53,23.0%
Cream Fresh 2Ltr,Vegetable Nation,CRF01E,2000,ml,7.85,0.0%
Creme Fraiche 2Kg,Brokes Food,780014,2000,g,9.13,0.0%
Creme Fraiche 30% (1Ltr),Vegetable Nation,40248,1000,ml,6.90,0%
Crepine Caul Fat Iqf (500G) Kilo,Vegetable Nation,18110,500,g,3.55,0.0%
Cress Affillia Los,Brokes Food,97168,1,ea,8.25,
Cress Gourmet Mix 2Kg,Vegetable Nation,CGM01B,2000,g,18.00,0.0%
Crowe'S Farm Ham Hock (2X1Kg),Vegetable Nation,18522,1000,g,9.80,0%
Cube Ice,Ice 2,,12,ea,10.00,23.0%
Cucumber ,Brokes Food,97038,1,ea,0.78,
Cucumber Each,Vegetable Nation,CUC01E,1,ea,0.66,0.0%
D.Coke 200Ml Irish Nr,Vagawond,1236,1,ea,14.90,23.0%
Dairy Produce Cream 6 X 2 L,Brokes Food,780008,2000,ml,8.15,
"Darroze Les Grand Assemblages 12 Yr Old, 70Cl",Vagawond,102072,700,ml,57.67,23.0%
Dbi Dehydrated Apple Slices 135G,Catering Providers,2073362,135,g,11.50,0.0%
Dbi Dehydrated Blood Oranges Slices 150G,Catering Providers,2073774,150,g,12.95,0.0%
Dbi Dehydrated Lemon Slices 110G,Catering Providers,2073202,110,g,12.08,0.0%
Dbi Dehydrated Lime Slices 140G,Catering Providers,2073201,140,g,12.08,0.0%
Dbi Dehydrated Orange Slices 140G,Catering Providers,2073200,140,g,12.76,0.0%
Delmonico,Meat Supply,,1000,g,31.00,0.0%
"Denavolo, Catavela",Le Caveau,LCIT42A,750,ml,95.06,23%
Denox Airtight  Container With Lid 1/1 100Mm 1 Ea,Sysco,490887,1,ea,33.91,23%
Diet Coca Cola Nrb 200Ml X 24,Catering Providers,2014162,24,ea,13.95,23.0%
Dijon Mustard 1X1 Kg ,Sysco,MT110,1000,g,6.74,0%
Dill 1Kg,Vegetable Nation,DIL02B,1000,g,10.00,0.0%
Dill Bag,Vegetable Nation,DIL01E,50,g,1.12,0.0%
Dingle Gin 70Cl,Vagawond,930,700,ml,157.00,23.0%
Dingle Original Gin 700Ml,Catering Providers,2260940,700,ml,24.95,23.0%
Dingle Vodka 70Cl 40%,Vagawond,945,700,ml,155.00,23.0%
Disaronno (Amaretto) 70Cl 28%,Vagawond,3246,700,ml,283.49,23.0%
Disaronno Liqueur 700Ml,Catering Providers,2260605,700,ml,21.32,23.0%
"Domaine Des Aubuisieres Vouvray Sec Silex 2022, 75Cl",Vagawond,109054,750,ml,13.08,23.0%
"Domaine Du Grapillon D'Or Gigondas 2021, 75Cl",Vagawond,,,,,
"Domaine Gueguen Chablis 2023, 75Cl",Vagawond,109716,750,ml,18.75,23.0%
"Dominio La Granadilla Rueda 2022, 75Cl",Vagawond,108399,750,ml,11.08,23.0%
Drambuie 700Ml,Catering Providers,2203307,700,ml,33.95,23.0%
Dried Fruit Apricots 1Kg,Brokes Food,721028,1000,g,13.77,
Drs Fc Lime Drs 25C Per Unit,Catering Providers,3800077,1,ea,0.25,0.0%
Drs Fc Passionfruit Drs 25C Per Unit,Catering Providers,3800081,1,ea,0.25,0.0%
Duck Foie Gras Extra (550G+) Vac-Pac Kilo,Vegetable Nation,11211,550,g,64.50,0%
Duck Legs Female Barbary (18 X180G),Vegetable Nation,11152,180,g,10.95,0%
Dustpan & Brush Long Handle / Lip,Catering Providers,6301312,1,ea,16.65,23.0%
Edible Flowers 30G,Brokes Food,HERLED,30,g,2.50,0.0%
Eggs Free Range Prepacks Foxbrook 12X15,Vegetable Nation,EFR05B,15,ea,38.90,0.0%
Eggs Large 1 Tray,Brokes Food,EGGSL,30,ea,6.25,0.0%
Eggs Liquid Yolk 1Kg,Vegetable Nation,ELY01E,1000,g,7.88,0.0%
Eggs Liquid Yolks Pasteurised (1Ltr),Vegetable Nation,13017,1000,ml,9.15,
Eggs Liquid Yolks Pasteurised (1Ltr) 13028,Vegetable Nation,13017,1000,ml,9.15,0%
Eggs Medium 12X30S,Vegetable Nation,EMT01B,30,ea,66.00,0.0%
Eggs Medium Irish Free-Range (X180),Vegetable Nation,12920,180,ea,37.00,0%
Eggs Medium Irish Free-Range (X180),Vegetable Nation,12920,180,ea,37.00,
Eggs Yolks 1 Litre,Brokes Food,EGGYO,1000,ml,9.29,0.0%
Erdinger 0.0% 500Ml X 12,Catering Providers,2350219,12,ea,17.20,23.0%
Erdinger Non Alcoholic 500Ml,Vagawond,319,1,ea,16.63,23.0%
"Espelette Chilli Pepper Pdo/Powder, 250G",Fine Foods,120.200.065,250,g,33.75,0%
Espuma- Gas Charger Bullets (X10),Vegetable Nation,E044187,10,ea,6.80,23%
Essential Beef Fillet Chain Off 1X1.5-1.9 Kg,Sysco,BF1171,1000,g,26.28,0%
Essentials Chicken Fillet 50X170-200Gm (2X25S),Sysco,498188,25,ea,69.97,0%
"Estezargues, Les Oliviers Cotes Du Rhone",Le Caveau,LCRH30,750,ml,68.70,23%
Exopap Baking Greaseproof Paper 53X33Cm (X500),Vegetable Nation,E320203,500,ea,27.95,23%
Exotic Lemon Grass ,Brokes Food,95010,1,ea,1.18,
Feather Blade -Kg,Meat Supply,,1000,g,9.80,0.0%
Fee Bros Fee Foam Agent 15Cl,Vagawond,11168,150,ml,207.28,23.0%
Fee Bros Orange Bitters 15Cl,Vagawond,10391,150,ml,13.96,23.0%
Fee Brothers Habanero Bitters,Vagawond,12033,1,ea,17.46,23.0%
Fennel Bulb Each,Brokes Food,206112,1,ea,1.45,0.0%
Fennel Herb Bag,Vegetable Nation,FEH01E,50,g,1.12,0.0%
Feuilles De Brick (17G X 10),Vegetable Nation,60105,17,g,2.75,0%
Fever-T Elderflower Tonic,Vagawond,1199,1,ea,21.00,23.0%
Fever-T Ginger Ale,Vagawond,1311,1,ea,21.00,23.0%
Fever-T Ginger Beer,Vagawond,91098,1,ea,21.00,23.0%
Fever-T Indian Tonic 6X4X200Ml,Vagawond,1215,1,ea,21.00,23.0%
Fever-T Light Tonic 200Ml,Vagawond,1249,1,ea,21.00,23.0%
Fevertree Elderflower Tonic Water 200Ml X 24,Catering Providers,2060988,24,ea,22.95,23.0%
Fevertree Ginger Ale 200Ml X 24,Catering Providers,2060989,24,ea,23.50,23.0%
Fevertree Ginger Beer 200Ml X 24,Catering Providers,2060990,24,ea,21.95,23.0%
Fevertree Indian Tonic Water 200Ml X 24,Catering Providers,2060993,24,ea,22.95,23.0%
Figs  ,Brokes Food,95115,1,ea,1.00,
Figs 24,Vegetable Nation,FIG01B,24,ea,24.30,0.0%
"Filet De Canette ""Pere Leon"" X Kg",Artisan Foods,,1000,g,21.50,0.0%
Fillet Steak 60Oz,Meat Supply,,60,oz,8.25,0.0%
"Finca Sophenia Malbec 2021,75Cl",Vagawond,108676,750,ml,15.00,23.0%
Finest Call Lime Juice 1Ltr Drs,Catering Providers,1561813,1000,ml,9.25,23.0%
Finest Call Passionfruit Mix 1Ltr Drs,Catering Providers,1550473,1000,ml,7.80,23.0%
Fish Mkt- Smoked Eel Fillets (100G)[L-],Vegetable Nation,19076,100,g,14.90,0%
Fish- Lough Neagh Smoked Eel Fillet Frozen (200G),Vegetable Nation,19290,200,g,19.90,0%
Flair Dessert Fork X 12 18/10,Catering Providers,66663586,12,ea,27.49,23.0%
Flair Dessert Knife X 12 18/10,Catering Providers,66663584,12,ea,28.41,23.0%
Flair Dessert Spoon X 12 18/10,Catering Providers,66663587,12,ea,27.49,23.0%
Flair Table Fork X 12 18/10,Catering Providers,66663585,12,ea,29.06,23.0%
Flair Table Knife X 12 18/10,Catering Providers,66663583,12,ea,29.06,23.0%
Flour Gram Flour,Brokes Food,726062,1,ea,3.28,
Flour Potato 1 Kg,Brokes Food,726099,1000,g,2.91,
Flour Tapioca 1 Kg ,Brokes Food,726095,1000,g,4.55,
Flour- T55 Patisserie (25Kg),Vegetable Nation,33005,25000,g,33.80,0%
Flour- T65 (25Kg),Vegetable Nation,33006,25000,g,33.80,0%
Flour: Tapioca (400G),Vegetable Nation,33164,400,g,2.25,0%
